discussion_title,discussion_body,board_category,author,date,url
Resetting Discover Weekly? - The Spotify Community,Any way we can reset Discover Weekly seeds? Or maybe update your algorithm for suggestions? Every week my Discover Weekly is filled with synthpop or sounds of fax machine having an orgasm labeled as dubstep. Or some incredibly repetitive annoying prog rock. The artists sound all the same and sugges...,Your Library,,,https://community.spotify.com/t5/Your-Library/Resetting-Discover-Weekly/td-p/4885105
Discover Weekly - The Spotify Community,"Anyway, the entire beauty of Discover Weekly was that it did all the work for you—you didn't have to think—it just gave you one playlist, with a manageable set of songs, to discover**bleep**, regardless of genre.",Your Library,,,https://community.spotify.com/t5/Your-Library/Discover-Weekly/td-p/7043768
"Saving a ""Discover Weekly"" playlist - The Spotify Community","I think one of the unique features of Spotify is the "" Discover Weekly "" feature. I've been listening to it for a while and wanted to save some of them. So I created a folder and save it to that folder. Well today I remembered something I heard previously and went to look at it and found that I hav...",Your Library,,,https://community.spotify.com/t5/Your-Library/Saving-a-quot-Discover-Weekly-quot-playlist/td-p/7233473
Discover Weekly - The Spotify Community,"Thanks for reaching out. The Discover Weekly and similar generated playlists are still available as they were previously. Are you unable to find them anymore? If so, could you elaborate a bit on what exactly happened and what exactly you see? Namely the following: Is this on all devices or only on specific one (s)? When did this start happening?",Your Library,,,https://community.spotify.com/t5/Your-Library/Discover-Weekly/td-p/6640513
Discover weekly playlist is getting worse month by month,"So I use Spotify for many, many years. And what I see the past months is that the discover weekly playlist (""Mix der Woche"" in German) is getting worse and worse step by step. While other companies improve with similar offers thanks to AI, Spotify doesn't hit the mark anymore. This playlist should...",Social Random,,,https://community.spotify.com/t5/Social-Random/Discover-weekly-playlist-is-getting-worse-month-by-month/td-p/7059304
Discover Weekly constantly terrible - The Spotify Community,"The discover weekly was good, I liked it (I used to like nearly all musics proposed), until one or two months now. Definitely, since 1 month now, the discover weekly is bad, I'm disappointed every Monday. For instance, I disliked one song proposed last week, this morning I got the same music proposed (just an alternative version).",Your Library,,,https://community.spotify.com/t5/Your-Library/Discover-Weekly-constantly-terrible/td-p/5245708
discover weekly archive - The Spotify Community,"Automatically create a playlist that has all current, past (if possible), and any future discover weekly songs archived into one big playlist",Live Ideas,,,https://community.spotify.com/t5/Live-Ideas/discover-weekly-archive/idi-p/7486033
Solved: Discover Weekly - The Spotify Community,"Even if I can't help you recover past Discover Weekly playlists I can recommend you two things you can do, so it won't happen again in the future. Firstly, open a last.fm account. It's a great way to keep track of what you listen in Spotify, and most other music players.",Other Podcasts Partners etc,,,https://community.spotify.com/t5/Other-Podcasts-Partners-etc/Discover-Weekly/td-p/1324990
My discover weekly updated today (Thursday) after ... - The Spotify ...,My discover weekly updated twice in one week? I want my discover weekly back from last week. This new one is fine but I wasn't done with the old one. It's like getting halfway through a good steak and the waiter comes over takes it from you and gave you a pork chop. Like yea I like this but I wasn't...,Your Library,,,https://community.spotify.com/t5/Your-Library/My-discover-weekly-updated-today-Thursday-after-its-update-on/td-p/6670263
How do I modify what Discovery Weekly sends? - The Spotify Community,"Hi everyone! is there any way I can get Discovery Weekly to send me more varied genres of music? I love all types of music, but it sends me 99.9% ambient music every week without fail. Thanks.",Your Library,,,https://community.spotify.com/t5/Your-Library/How-do-I-modify-what-Discovery-Weekly-sends/td-p/6302534
How to discover new music on Spotify - Seven Suggestions,"Hey listeners! I decided to try something new here with the assist of artificial intelligence and my own fact checking. I asked Chat GPT to give me ideas of how to find new music on Spotify which gave me a hauntingly accurate list, so I've modified the wording and added some graphic instructions. I ...",Music Discussion,,,https://community.spotify.com/t5/Music-Discussion/How-to-discover-new-music-on-Spotify-Seven-Suggestions/td-p/5574025
Your Favorite Ways to Discover New Music? - The Spotify Community,"Some of my favorite ways to discover new music is through Discover Weekly, Release Radar, Daily mixes, artist/song radio stations and United States Viral 50. The United States Viral 50 is a daily updated playlist of the most shared and talked about songs in the U.S. This is different from United Sta...",Music Discussion,,,https://community.spotify.com/t5/Music-Discussion/Your-Favorite-Ways-to-Discover-New-Music/td-p/5023847
Discovery & Promo - The Spotify Community,"Artists Wanted Edition 19: Share music - discover music - like music Welcome to Artists Wanted Edition 19. If you're an independent artist and would like your music heard by the Spotify Community, we'd love to hear from you If you want to discover and support independent artists this is for you too How it works: Stage...",Discovery Promo,,,https://community.spotify.com/t5/Discovery-Promo/bd-p/discovery_and_promo
I wish there were more ways to explore new music.,"When Smart Shuffle is enabled, a song suggestion will be added to your playlist every few songs! Suggestions look like this: Other music discovery paths worth exploring are e.g. Daily Mixes, Discover Weekly, Release Radar and Radios. More info regarding these can be found here. Hope this helps! Do let us know if any questions arise. Cheers!",Your Library,,,https://community.spotify.com/t5/Your-Library/I-wish-there-were-more-ways-to-explore-new-music/td-p/6187628
"Now in the US: A new way to preview Albums, Artist... - The Spotify ...","I hope this ""part 2"" blog post has shed some light on the exciting new preview experience rolling out to the US! It's truly a game-changer for music discovery and organization, making your listening journey more seamless and enjoyable. Dive in and experience the transformation for yourself - happy listening!",Community Blog,,,https://community.spotify.com/t5/Community-Blog/Now-in-the-US-A-new-way-to-preview-Albums-Artists-and-Playlists/ba-p/7170864
How Has Spotify Changed the Way You Discover and S...,"Spotify is more than a music streaming service; it has become a community where people connect through songs, playlists, podcasts, and shared experiences. Features like collaborative playlists, personalized recommendations, and music discovery tools make it easier to find new artists and share favor...",iOS iPhone iPad,,,https://community.spotify.com/t5/iOS-iPhone-iPad/How-Has-Spotify-Changed-the-Way-You-Discover-and-Share-Music/td-p/7490663
"Find Songs by Humming, Singing, or Whistling (Buil... - The Spotify ...","It would make discovering music faster and easier, especially for songs heard on social media, in public places, or from friends. How it could work: - A microphone icon next to the search bar activates song recognition. - Users hum, sing, or whistle the melody. - Spotify matches rhythm, pitch, and melody using AI and audio fingerprinting.",Live Ideas,,,https://community.spotify.com/t5/Live-Ideas/Find-Songs-by-Humming-Singing-or-Whistling-Built-In-Spotify/idi-p/7296139
Music Discussion - The Spotify Community,"Discovery only happens when you press play How many new artists can you find to support? Artists Wanted Edition 19 has over 60 artists waiting to be discovered. Every listener hears something different, and that's what makes music discovery so rewarding. Which artists give you a reason to pre...",Music Discussion,,,https://community.spotify.com/t5/Music-Discussion/bd-p/music_discussion
"A new way to preview Albums, Artists, and Playlist... - The Spotify ...","Have you ever found yourself curious about an artist, album, playlist or genre, but you weren't ready to commit to a 'full listen' or deep dive just yet? Spotify Desktop has a new feature that lets you sample preview tracks from playlists, albums, and artists. This feature has been available on ...",Community Blog,,,https://community.spotify.com/t5/Community-Blog/A-new-way-to-preview-Albums-Artists-and-Playlists-on-Desktop-amp/ba-p/6949644
