review,rating,date,source,url
Why are we getting it now when us got this 9 months ago. I am paying too,,2026-04-15T17:55:02Z,YouTube,https://www.youtube.com/watch?v=IVAeoXbE9ZY&lc=UgxC42fXTSQcU7Kk3_F4AaABAg
that toe shaking is funny!,,2026-04-20T09:01:43Z,YouTube,https://www.youtube.com/watch?v=IVAeoXbE9ZY&lc=Ugyleh9FxyUXPXrqRDJ4AaABAg
I am a premium user but still can't find it in my phone. My free user friend has this feature,,2026-04-15T17:54:33Z,YouTube,https://www.youtube.com/watch?v=IVAeoXbE9ZY&lc=UgyAjoWqfiGpz7UKZH14AaABAg
Spotify in hindoostan is called Spootify,,2026-06-11T09:39:27Z,YouTube,https://www.youtube.com/watch?v=IVAeoXbE9ZY&lc=UgwGW2Pb_cXJ4R5Jh654AaABAg
IS THAT BUS AUNTIE?!?!,,2025-12-04T07:36:50Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzmlUlUsBqwYDe2OYJ4AaABAg
Nemzzz made it fr 🔥❤️‍🩹,,2025-12-03T17:27:47Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgznSKfW5f2zYhpfThF4AaABAg
"NO WAYYY, JADE on the official Spotify Wrapped? Deserved, That's Showbiz Baby is incredible! Can't wait for the deluxe",,2025-12-03T14:10:35Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugxz4KtJ2XXuizmegSp4AaABAg
PINKPANTHERESS OMMMMGGG,,2025-12-03T15:20:22Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwB8uPqSH11-dmufkR4AaABAg
"""How do I check my Spotify Wrapped?"" Spotify does not understand the idea of an answer to a question.",,2025-12-03T17:59:41Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgydaQq1J8__r5WnRrN4AaABAg
"YES BRO NEMZ IS ON THE THUMBNAIL, FINALLY GETTING THE RECOGNITION",,2025-12-04T08:33:49Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgynUgxjrxEmR0eASAp4AaABAg
they cooked this year,,2025-12-03T16:19:31Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxaC_YbtatQeQZGhQ54AaABAg
no way bus auntie made it onto a spotify promotional video?? she's onto BIG THINGS & i LOVEEE it for her 💞💞,,2025-12-03T19:05:04Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=Ugw6yucIZRaIDGvv7Nx4AaABAg
the production quality on this is great!!!,,2025-12-03T15:03:07Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzyVmGo1j-NcQyLoLh4AaABAg
“My name is Pink and it’s really nice to meet you” - Pinkpantheress🩷,,2025-12-04T14:49:17Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzmesjPtQCeHVp4kvF4AaABAg
Jade is incredible. That’s showbiz baby was my top album of the year 💕,,2025-12-03T14:05:32Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxUc29OYcju0mUkDAt4AaABAg
i love seeing JADE everywhere. And she’s the thumbnail,,2025-12-03T17:00:28Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgzMEm1ubGcb6G8BmcJ4AaABAg
"CENCH IS THE THUMBNAIL YALL, I THINK THEY CHANGED",,2025-12-03T21:12:57Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgxacGgWZdrj_-86O9J4AaABAg
STOP I AM HERE FOR SPOTIFY CATEGORIZING FANBASES,,2025-12-03T13:06:35Z,YouTube,https://www.youtube.com/watch?v=YlxlsQVLw3E&lc=UgwT5Gjz97XnTD-eFGN4AaABAg
